Probe	Ensembl	Correlation
ENSG00000186889	ENSG00000186889	1
ENSG00000186919	ENSG00000186919	1
ENSG00000187135	ENSG00000187135	1
ENSG00000187156	ENSG00000187156	1
ENSG00000187510	ENSG00000187510	1
ENSG00000187513	ENSG00000187513	1
ENSG00000187546	ENSG00000187546	1
ENSG00000187556	ENSG00000187556	1
ENSG00000187569	ENSG00000187569	1
ENSG00000187730	ENSG00000187730	1
ENSG00000187870	ENSG00000187870	1
ENSG00000187904	ENSG00000187904	1
ENSG00000187950	ENSG00000187950	1
ENSG00000188000	ENSG00000188000	1
ENSG00000188039	ENSG00000188039	1
ENSG00000188112	ENSG00000188112	1
ENSG00000188393	ENSG00000188393	1
ENSG00000188467	ENSG00000188467	1
ENSG00000188573	ENSG00000188573	1
ENSG00000188582	ENSG00000188582	1
ENSG00000188649	ENSG00000188649	1
ENSG00000188738	ENSG00000188738	1
ENSG00000188763	ENSG00000188763	1
ENSG00000188765	ENSG00000188765	1
ENSG00000188859	ENSG00000188859	1
ENSG00000188873	ENSG00000188873	1
ENSG00000188958	ENSG00000188958	1
ENSG00000188959	ENSG00000188959	1
ENSG00000188985	ENSG00000188985	1
ENSG00000188993	ENSG00000188993	1
ENSG00000189014	ENSG00000189014	1
ENSG00000189058	ENSG00000189058	1
ENSG00000189143	ENSG00000189143	1
ENSG00000189182	ENSG00000189182	1
ENSG00000189253	ENSG00000189253	1
ENSG00000189280	ENSG00000189280	1
ENSG00000189292	ENSG00000189292	1
ENSG00000189325	ENSG00000189325	1
ENSG00000189366	ENSG00000189366	1
ENSG00000196114	ENSG00000196114	1
ENSG00000196326	ENSG00000196326	1
ENSG00000196335	ENSG00000196335	1
ENSG00000196353	ENSG00000196353	1
ENSG00000196427	ENSG00000196427	1
ENSG00000196611	ENSG00000196611	1
ENSG00000196639	ENSG00000196639	1
ENSG00000196648	ENSG00000196648	1
ENSG00000196689	ENSG00000196689	1
ENSG00000196747	ENSG00000196747	1
ENSG00000196754	ENSG00000196754	1
ENSG00000196778	ENSG00000196778	1
ENSG00000196890	ENSG00000196890	1
ENSG00000196960	ENSG00000196960	1
ENSG00000197262	ENSG00000197262	1
ENSG00000197358	ENSG00000197358	1
ENSG00000197380	ENSG00000197380	1
ENSG00000197403	ENSG00000197403	1
ENSG00000197476	ENSG00000197476	1
ENSG00000197496	ENSG00000197496	1
ENSG00000197794	ENSG00000197794	1
ENSG00000197822	ENSG00000197822	1
ENSG00000197870	ENSG00000197870	1
ENSG00000198010	ENSG00000198010	1
ENSG00000198185	ENSG00000198185	1
ENSG00000198229	ENSG00000198229	1
ENSG00000198454	ENSG00000198454	1
ENSG00000198515	ENSG00000198515	1
ENSG00000198569	ENSG00000198569	1
ENSG00000198723	ENSG00000198723	1
ENSG00000198729	ENSG00000198729	1
ENSG00000198750	ENSG00000198750	1
ENSG00000198754	ENSG00000198754	1
ENSG00000198829	ENSG00000198829	1
ENSG00000198929	ENSG00000198929	1
ENSG00000199121	ENSG00000199121	1
ENSG00000199273	ENSG00000199273	1
ENSG00000199332	ENSG00000199332	1
ENSG00000199370	ENSG00000199370	1
ENSG00000199643	ENSG00000199643	1
ENSG00000199691	ENSG00000199691	1
ENSG00000200090	ENSG00000200090	1
ENSG00000200164	ENSG00000200164	1
ENSG00000200204	ENSG00000200204	1
ENSG00000200235	ENSG00000200235	1
ENSG00000200285	ENSG00000200285	1
ENSG00000200648	ENSG00000200648	1
ENSG00000200651	ENSG00000200651	1
ENSG00000200714	ENSG00000200714	1
ENSG00000200737	ENSG00000200737	1
ENSG00000200814	ENSG00000200814	1
ENSG00000200953	ENSG00000200953	1
ENSG00000201098	ENSG00000201098	1
ENSG00000201217	ENSG00000201217	1
ENSG00000201227	ENSG00000201227	1
ENSG00000201457	ENSG00000201457	1
ENSG00000201544	ENSG00000201544	1
ENSG00000202522	ENSG00000202522	1
ENSG00000202538	ENSG00000202538	1
ENSG00000203260	ENSG00000203260	1
ENSG00000203315	ENSG00000203315	1
ENSG00000203325	ENSG00000203325	1
ENSG00000203400	ENSG00000203400	1
ENSG00000203414	ENSG00000203414	1
ENSG00000203606	ENSG00000203606	1
ENSG00000203684	ENSG00000203684	1
ENSG00000203685	ENSG00000203685	1
ENSG00000203730	ENSG00000203730	1
ENSG00000203801	ENSG00000203801	1
ENSG00000203836	ENSG00000203836	1
